"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"DÓSA FERENC","","Nyilvántartásba véve","Somogy vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DÓSA SZABOLCS","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","2026. március 12.","Középen Állók Pártja",""
"DÖME ZSUZSANNA","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 03. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"DÖME ZSUZSANNA","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"DÖMÖTÖR CSABA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DRÁBÓCZINÉ MOLNÁR NIKOLETTA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"DRENYOVSZKI TAMÁS","","Nyilvántartásba vétel visszautasítva","Somogy vármegye, 03. számú egyéni választókerület","2026. március 12.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DRÓTÁR TIBORNÉ","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"DUDÁS RÓBERT","","Nyilvántartásba véve","Heves vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"DUDICH ÁKOS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DULISKOVICH VIKTOR","Ruszin","Nyilvántartásba véve","","2026. március 5.","Országos Ruszin Önkormányzat","Nemzetiségi lista"
"DUNAI MÓNIKA","","Nyilvántartásba véve","Budapest főváros, 15. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DUNAI MÓNIKA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DÚRÓ DÓRA","","Nyilvántartásba véve","Tolna vármegye, 02. számú egyéni választókerület","2026. február 27.","Mi Hazánk Mozgalom",""
"DÚRÓ DÓRA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DZSUNGA BEÁTA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"ÉBERLING BALÁZS","","Nyilvántartásba véve","Bács-Kiskun vármegye, 06. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"ÉBERLING BALÁZS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ÉBL GYÖRGY","","Nem kíván indulni","Budapest főváros, 02. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"EDŐCS BEÁTA","","Nyilvántartásba véve","Budapest főváros, 05. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"EDŐCS BEÁTA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. EGYED FERDINÁND","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"EICH MÁRIA","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"ÉLES ZOLTÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ELKÁN KRISZTIÁN","","Nyilvántartásba vétel visszautasítva","Pest vármegye, 02. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"ÉLŐ NORBERT","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"ENDRE BÉLA","","Nyilvántartásba véve","Bács-Kiskun vármegye, 04. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"ENDRE BÉLA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ENGLENDERNÉ HOCK IBOLYA","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"ERDÉLYI ÁKOS","","Nyilvántartásba véve","Somogy vármegye, 01. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"ERDÉLYI ÁKOS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ERDŐS CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ERDŐS NORBERT","","Nyilvántartásba véve","Békés vármegye, 04. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"ERDŐS NORBERT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"ERŐS GÁBOR","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"ERŐS GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"F. KOVÁCS SÁNDOR","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"F. KOVÁCS SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FÁBIÁN ÁRON BENDE","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"FÁBIÁN ÁRON BENDE","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"FÁBIÁN BENJÁMIN DÁVID","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 06. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"FÁBIÁN MÁRTA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FÁBRI JUDIT","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"FAFULA FLÓRA","","Kiesett","Budapest főváros, 14. számú egyéni választókerület","2026. március 11.","Normális Élet Pártja",""
"DR. FARÁDY ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FARAGÓ DÁNIEL","","Nem kíván indulni","Budapest főváros, 01. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"FARAGÓ SÁNDOR","","Nem kíván indulni","Budapest főváros, 06. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"FARAGÓ TAMÁS","","Nyilvántartásba véve","Heves vármegye, 03. számú egyéni választókerület","2026. március 14.","Jobbik Magyarországért Mozgalom",""
"FARKAS ATTILA","","Nyilvántartásba véve","Zala vármegye, 01. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"FARKAS ATTILA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FARKAS CORINA","","Nyilvántartásba vétel visszautasítva","Heves vármegye, 03. számú egyéni választókerület","2026. március 14.","Normális Élet Pártja",""
"DR. FARKAS CSONGOR","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 04. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. FARKAS CSONGOR","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FARKAS DÁNIEL","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FARKAS DÁVID","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 01. számú egyéni választókerület","2026. március 5.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"FARKAS ÉVA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FARKAS GÁBOR","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FARKAS KÁLMÁN","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"FARKAS LÁSZLÓ","","Nyilvántartásba véve","Tolna vármegye, 01. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"DR. FARKAS LEVENTE","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. FARKAS LEVENTE","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FARKAS ÖRS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FARKAS SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FARKAS STEFÁNIA","","Nem kíván indulni","Fejér vármegye, 05. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"FARKAS TÍMEA","","Nyilvántartásba véve","Budapest főváros, 15. számú egyéni választókerület","2026. március 15.","Normális Élet Pártja",""
"FARKAS TÜNDE","","Nyilvántartásba vétel visszautasítva","Heves vármegye, 02. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"FATÉR BALÁZS ISTVÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FAZAKAS ATTILA","","Nyilvántartásba véve","Fejér vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"FAZEKAS CSILLA","","Nyilvántartásba véve","Budapest főváros, 01. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FAZEKAS CSILLA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FAZEKAS SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FAZEKAS VÉDA","","Nem kíván indulni","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 6.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"FEHÉR BENJÁMIN","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. március 8.","Középen Állók Pártja",""
"FEHÉR KRISZTINA","","Nem kíván indulni","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"FÉHR GYÖRGY","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"FEIGL GYULA","","Nyilvántartásba vétel visszautasítva","Somogy vármegye, 03. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"FEIGL GYULÁNÉ","","Nem kíván indulni","Pest vármegye, 11. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"FEJES TIBOR","","Nyilvántartásba véve","Békés vármegye, 03. számú egyéni választókerület","2026. március 14.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"FEKETE BÉLA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 03. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"FEKETE BÉLA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. FEKETE DÁVID","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 02. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. FEKETE DÁVID","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FEKETE GYÖRGY","","Nyilvántartásba véve","Budapest főváros, 08. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"FEKETE GYÖRGY","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FEKETE LÁSZLÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FELDMAN LÁSZLÓ","","Nyilvántartásba véve","Pest vármegye, 13. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FELDMAN LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FÉLEGYHÁZI ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FELTEINNÉ ZANÓCZ MAGDOLNA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"FENYVES DÁVID GYÖRGY","","Nyilvántartásba véve","Somogy vármegye, 04. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"FERANCZ NORBERT","","Nyilvántartásba véve","Budapest főváros, 08. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"FERANCZ NORBERT","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"DR. FERENC VIKTÓRIA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. FERENCZ ORSOLYA","","Nyilvántartásba véve","Budapest főváros, 02. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. FERENCZ ORSOLYA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. FERENCZI GÁBOR","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. FERENCZI GÁBOR","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FERENCZI MIKLÓSNÉ","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"FERENCZIK JÓZSEF","","Nem kíván indulni","Budapest főváros, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"FERINCZ JENŐ","","Nem kíván indulni","Zala vármegye, 03. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"DR. FILÓ ANDRÁS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FILP EDVÁRD","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"FILP ZOLTÁN","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"DR. FISZTER ZSUZSANNA","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"DR. FISZTER ZSUZSANNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FIZEL JÓZSEF","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"FIZEL JÓZSEF","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"FLÁSCH LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FODOR BETTINA","","Nyilvántartásba véve","Pest vármegye, 03. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"FODOR BETTINA","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"FODOR LAJOS","","Nyilvántartásba véve","Pest vármegye, 10. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"FÓNAGY JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FONT SÁNDOR","","Nyilvántartásba véve","Bács-Kiskun vármegye, 03. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FONT SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FORGÁCS ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FORGÁCS VALTER ZSOLT","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"FORGÓ GABRIELLA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"FORSTHOFFER ÁGNES","","Nyilvántartásba véve","Veszprém vármegye, 02. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"FORSTHOFFER ÁGNES","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"FÖLDES IMRE","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 12. számú egyéni választókerület","2026. március 9.","Otthon Védelme Ingatlan Párt",""
"FÖLDESI GYULA","","Nyilvántartásba véve","Budapest főváros, 16. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FÖLDESI GYULA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FÖLDESI MIHÁLY","","Nyilvántartásba véve","Békés vármegye, 02. számú egyéni választókerület","2026. február 27.","Mi Hazánk Mozgalom",""
"FÖLDESI MIHÁLY","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FÖLDI ISTVÁN","","Kiesett","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","2026. március 20.","Jobbik Magyarországért Mozgalom",""
"FÖLDI JUDIT","","Nyilvántartásba véve","Fejér vármegye, 01. számú egyéni választókerület","2026. március 5.","Demokratikus Koalíció",""
"FÖLDI LÁSZLÓ","","Nyilvántartásba véve","Pest vármegye, 14. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FÖLDI LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FRACHNERNÉ MOLNÁR SZILVIA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"FRANK MÓNIKA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"DR. FRANKFURTER ZSUZSANNA","","Nyilvántartásba véve","Nógrád vármegye, 02. számú egyéni választókerület","2026. március 2.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. FRANKFURTER ZSUZSANNA","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"FRECOT BÁLINT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"FRIEDL TAMÁS","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"DR. FÜLE ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"FÜLÖP ATTILA","","Nyilvántartásba véve","Budapest főváros, 04. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"FÜLÖP ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"FÜLÖP LÁSZLÓNÉ","","Nyilvántartásba véve","Veszprém vármegye, 03. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"DR. FÜLÖP ZOLTÁN","","Nyilvántartásba véve","Békés vármegye, 01. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"DR. FÜLÖP ZOLTÁN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"FÜRÉSZ TÜNDE","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"GAJDA ATTILA","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"GAJDA ATTILA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GAJDOS LÁSZLÓ","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"GAJDOS LÁSZLÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GÁL ADRIENN","","Nyilvántartásba véve","Baranya vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"GÁL KINGA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"GÁL PÉTER","","Nyilvántartásba véve","Budapest főváros, 15. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"GALAMBICA MARTIN ATTILA","","Nyilvántartásba vétel visszautasítva","Fejér vármegye, 05. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"GALBA-DEÁK ÁDÁM ISTVÁN","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 06. számú egyéni választókerület","2026. március 12.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"GALBA-DEÁK ÁDÁM ISTVÁN","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"GALDA LEVENTE","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"GALLAI GERGELY","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"GALLÓ BENCE","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"GALÓ CSABA","","Nyilvántartásba véve","Békés vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. GÁLÓCZHI-TÖMÖSVÁRY ZSOLT JÓZSEF","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GALYAS DÉNES","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 7.","Független jelölt",""
"GALYAS JÓZSEF","Roma","Nyilvántartásba véve","","2026. március 2.","Magyarországi Romák Országos Önkormányzata","Nemzetiségi lista"
"GALYAS LAJOS","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"GALYAS RENÁTA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"GALYAS RÓBERT","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"GALYAS VERONIKA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"GANYI GÁBORNÉ","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 01. számú egyéni választókerület","2026. március 15.","Normális Élet Pártja",""
"GARDA ZOLTÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. GÁSPÁR LEVENTE","","Nyilvántartásba véve","Veszprém vármegye, 01. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. GÁSPÁR LEVENTE","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GÁSPÁR TIBOR JÓZSEF","","Nyilvántartásba véve","Pest vármegye, 13. számú egyéni választókerület","2026. március 15.","Normális Élet Pártja",""
"GÁSPÁR TIBOR JÓZSEFNÉ","","Nem kíván indulni","Pest vármegye, 12. számú egyéni választókerület","2026. március 6.","Normális Élet Pártja",""
"GAZSÓ ATTILA","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 07. számú egyéni választókerület","2026. március 16.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"GELENCSÉR ANDRÁS","","Nem kíván indulni","Pest vármegye, 10. számú egyéni választókerület","2026. február 24.","Független jelölt",""
"GELENCSÉR ATTILA","","Nyilvántartásba véve","Somogy vármegye, 01. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"GELENCSÉR ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"GÉMES SZILVIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GÉMESI ROLAND","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"GEORGIU ACHILLES","Görög","Nyilvántartásba véve","","2026. március 7.","Magyarországi Görögök Országos Önkormányzata","Nemzetiségi lista"
"GERENCSÉR NORBERT","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 04. számú egyéni választókerület","2026. március 9.","Független jelölt",""
"GERGELICS ÁDÁM","","Nyilvántartásba véve","Veszprém vármegye, 03. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"GERGELICS ÁDÁM","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. GERGELY ANDREA","","Nyilvántartásba véve","Budapest főváros, 02. számú egyéni választókerület","2026. március 8.","Magyar Kétfarkú Kutya Párt",""
"DR. GERGELY ANDREA","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"GERGELY RÓBERT","","Nyilvántartásba véve","Békés vármegye, 02. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"GERGELY RÓBERT","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
